ID,latitude,longitude,country
0,20.82488495,-98.49951688,Mexico
1,-3.45175152,-54.56393669,Brazil
2,-23.49646371,-47.46054193,Brazil
3,-16.54867768,-72.85277758,Peru
4,-35.01086957,140.0643972,Australia
5,-14.22366709,-43.75370355,Brazil
6,38.06349662,32.59794981,Turkey
7,-22.81322954,22.03515412,Botswana
8,-11.71737961,-57.05230863,Brazil
9,-27.07860659,146.7192057,Australia
10,46.71905466,9.459717888,Switzerland
11,16.2263944,-14.07406777,Senegal
12,16.5252514,79.2460586,India
13,-25.51086252,-63.00873004,Argentina
14,26.33348412,-102.6598057,Mexico
15,2.253234338,99.64904229,Indonesia
16,55.60493952,124.9186252,Russia
17,-28.64395625,134.3537937,Australia
18,0.000271325,40.38448656,Kenya
19,-10.78139948,-38.357234,Brazil
20,44.08487932,111.1884431,Mongolia
21,-24.09338219,-50.35383822,Brazil
22,-39.71868496,-70.57281281,Argentina
23,54.43463978,36.36091837,Russia
24,-7.119905295,111.5604725,Indonesia
25,-14.94045156,143.5541589,Australia
26,46.96431593,91.45170002,Mongolia
27,41.84265812,33.73204022,Turkey
28,-32.36562311,-66.93578981,Argentina
29,-33.07499177,-64.72527751,Argentina
30,46.46690779,19.61027161,Hungary
31,-8.709749021,-69.55795021,Brazil
32,-33.91484881,-57.76251157,Uruguay
33,37.41052793,40.84768713,Turkey
34,1.215827407,34.73411179,Kenya
35,-28.30400068,24.55413662,South Africa
36,12.20986266,105.3137642,Cambodia
37,-32.31093668,125.1562395,Australia
38,50.07412767,18.82259308,Poland
39,-31.88003046,141.7919382,Australia
40,42.29721959,24.92379086,Bulgaria
41,-37.78817006,144.2142406,Australia
42,-18.1015108,135.6636376,Australia
43,8.872528612,11.41777784,Nigeria
44,0.61424489,39.23578178,Kenya
45,-47.66708386,-67.99612516,Argentina
46,51.21399069,34.11921872,Ukraine
47,-25.86926098,143.3897193,Australia
48,65.78097231,45.03256739,Russia
49,-21.97059913,133.4859638,Australia
50,-0.908052928,-60.51686807,Brazil
51,-33.74513013,24.63639357,South Africa
52,-18.22216565,142.8091744,Australia
53,-11.55804735,-51.02835867,Brazil
54,-36.49550658,-60.79786056,Argentina
55,-10.05753479,-67.96381212,Brazil
56,-38.34482905,-68.53479239,Argentina
57,-34.69906513,150.6869225,Australia
58,47.44302153,109.7139337,Mongolia
59,-0.6317656,114.5728442,Indonesia
60,61.31526074,13.17819543,Sweden
61,-24.94086411,-51.8722132,Brazil
62,-13.32046327,-46.57150539,Brazil
63,45.28486938,19.13481545,Serbia
64,7.008317748,-1.135487356,Ghana
65,53.94779355,-7.368339321,Ireland
66,-31.56551477,23.26475001,South Africa
67,62.26787276,71.5740811,Russia
68,52.7673824,15.70489913,Poland
69,-10.13769629,-38.29619025,Brazil
70,19.16703741,-90.22266794,Mexico
71,-17.28613568,-47.72384443,Brazil
72,45.70617391,113.6875534,Mongolia
73,74.11044158,-57.04101478,Greenland
74,-28.92102237,-56.09919089,Brazil
75,54.12772464,50.38180425,Russia
76,-33.26757068,-66.05035469,Argentina
77,61.48971357,152.213058,Russia
78,52.87308704,18.63809217,Poland
79,-38.93490392,-63.62099336,Argentina
80,-32.06710472,122.4329057,Australia
81,-16.7103883,-40.89586267,Brazil
82,45.44176053,27.09637794,Romania
83,-37.27810852,-60.85006382,Argentina
84,-29.34606998,145.8624103,Australia
85,6.454779668,-74.02551717,Colombia
86,-5.481198587,-36.91136417,Brazil
87,15.67148648,80.21530466,India
88,-27.95519636,119.4579991,Australia
89,-28.78416214,-49.98234081,Brazil
90,-1.109477491,-60.45898496,Brazil
91,-5.592944878,-45.15258465,Brazil
92,-51.01029846,-71.1768602,Argentina
93,62.10722964,117.6362566,Russia
94,51.2865315,19.49078378,Poland
95,9.176363313,0.018828959,Ghana
96,58.7544737,68.94844179,Russia
97,-22.77372312,29.35571295,South Africa
98,-9.939063735,-57.1301069,Brazil
99,46.17534472,100.7293926,Mongolia
100,12.73521981,104.9939208,Cambodia
101,52.49800049,43.17354651,Russia
102,53.84231104,20.1475577,Poland
103,-31.99212348,145.9754652,Australia
104,61.29312378,48.96903981,Russia
105,47.52462721,118.9518714,Mongolia
106,11.16299267,105.9523424,Cambodia
107,-28.02818617,118.5398961,Australia
108,46.13844488,113.3814388,Mongolia
109,48.6458887,89.97346669,Mongolia
110,-13.43818891,-43.16446299,Brazil
111,37.35560141,35.5575917,Turkey
112,0.390192843,36.29981723,Kenya
113,-2.966587552,-47.64174818,Brazil
114,-8.159078757,-63.79235908,Brazil
115,-23.44224825,22.55637297,Botswana
116,-22.56785418,144.4529412,Australia
117,40.11497407,27.90380883,Turkey
118,-8.141451557,-70.76595729,Brazil
119,63.36035032,46.53619806,Russia
120,8.551204198,7.716167787,Nigeria
121,55.50467763,157.6338917,Russia
122,-27.34715848,148.8961122,Australia
123,-32.42322059,148.9527302,Australia
124,62.57224853,12.57365345,Sweden
125,14.29576585,-16.03697872,Senegal
126,-6.770644238,-51.03334082,Brazil
127,-24.97912462,-60.1809635,Argentina
128,26.31261702,-104.5467449,Mexico
129,-20.16702312,25.40310216,Botswana
